ID, DATE

0692, 2011-03-09 19:16:16
0711, 2011-03-24 20:56:32
1147, 2011-04-20 17:27:28
0119, 2011-10-05 18:25:04
0363, 2011-10-26 20:39:28
1218, 2012-03-05 19:14:08
0026, 2012-03-10 17:29:36
1076, 2012-04-18 17:06:08
0730, 2012-12-22 21:34:56 (Has another entry within 30min)
0700, 2013-01-30 18:48:32
0540, 2013-04-17 18:40:00 (Has another entry within 30min)
0813, 2013-10-24 15:49:20
0970, 2013-11-05 22:17:36
0867, 2014-04-23 16:29:52
1101, 2014-11-25 18:37:52
0527, 2015-01-28 19:09:52
0346, 2015-04-15 16:40:32













